SampleID_S1,TaskID_S1,TaskScore_S1,BinaryTaskScore_S1,EssentialRxnsTask_S1,ExpressionScoreEssentialRxnsTask_S1,GeneAssociatedToEssentialRxnsTask_S1,GeneExpressionValue_S1,SampleID_S2,TaskID_S2,TaskScore_S2,BinaryTaskScore_S2,EssentialRxnsTask_S2,ExpressionScoreEssentialRxnsTask_S2,GeneAssociatedToEssentialRxnsTask_S2,GeneExpressionValue_S2,SampleID_S3,TaskID_S3,TaskScore_S3,BinaryTaskScore_S3,EssentialRxnsTask_S3,ExpressionScoreEssentialRxnsTask_S3,GeneAssociatedToEssentialRxnsTask_S3,GeneExpressionValue_S3,SampleID_S4,TaskID_S4,TaskScore_S4,BinaryTaskScore_S4,EssentialRxnsTask_S4,ExpressionScoreEssentialRxnsTask_S4,GeneAssociatedToEssentialRxnsTask_S4,GeneExpressionValue_S4,SampleID_S5,TaskID_S5,TaskScore_S5,BinaryTaskScore_S5,EssentialRxnsTask_S5,ExpressionScoreEssentialRxnsTask_S5,GeneAssociatedToEssentialRxnsTask_S5,GeneExpressionValue_S5,SampleID_S6,TaskID_S6,TaskScore_S6,BinaryTaskScore_S6,EssentialRxnsTask_S6,ExpressionScoreEssentialRxnsTask_S6,GeneAssociatedToEssentialRxnsTask_S6,GeneExpressionValue_S6
1,1,1.171132708,1,co_TRANSLOC_6,-1,23480,,2,1,1.160836499,1,co_TRANSLOC_6,-1,23480,,3,1,1.183397274,1,co_TRANSLOC_6,-1,23480,,4,1,1.136592444,0,co_TRANSLOC_6,-1,23480,,5,1,1.135197451,0,co_TRANSLOC_6,-1,23480,,6,1,1.14372718,0,co_TRANSLOC_6,-1,23480,
1,1,1.171132708,1,BiP_release,-1,64374,,2,1,1.160836499,1,BiP_release,-1,64374,,3,1,1.183397274,1,BiP_release,-1,64374,,4,1,1.136592444,0,BiP_release,-1,64374,,5,1,1.135197451,0,BiP_release,-1,64374,,6,1,1.14372718,0,BiP_release,-1,64374,
1,1,1.171132708,1,SP_degradation,-1,389362,,2,1,1.160836499,1,SP_degradation,-1,389362,,3,1,1.183397274,1,SP_degradation,-1,389362,,4,1,1.136592444,0,SP_degradation,-1,389362,,5,1,1.135197451,0,SP_degradation,-1,389362,,6,1,1.14372718,0,SP_degradation,-1,389362,
1,1,1.171132708,1,SPC_degradation,-1,23478,,2,1,1.160836499,1,SPC_degradation,-1,23478,,3,1,1.183397274,1,SPC_degradation,-1,23478,,4,1,1.136592444,0,SPC_degradation,-1,23478,,5,1,1.135197451,0,SPC_degradation,-1,23478,,6,1,1.14372718,0,SPC_degradation,-1,23478,
1,1,1.171132708,1,co_TRANSLOC_7,-1,23480,,2,1,1.160836499,1,co_TRANSLOC_7,-1,23480,,3,1,1.183397274,1,co_TRANSLOC_7,-1,23480,,4,1,1.136592444,0,co_TRANSLOC_7,-1,23480,,5,1,1.135197451,0,co_TRANSLOC_7,-1,23480,,6,1,1.14372718,0,co_TRANSLOC_7,-1,23480,
1,1,1.171132708,1,TRAP_degradation,-1,6746,,2,1,1.160836499,1,TRAP_degradation,-1,6746,,3,1,1.183397274,1,TRAP_degradation,-1,6746,,4,1,1.136592444,0,TRAP_degradation,-1,6746,,5,1,1.135197451,0,TRAP_degradation,-1,6746,,6,1,1.14372718,0,TRAP_degradation,-1,6746,
1,2,1.171132708,1,TRAP,-1,6746,,2,2,1.160836499,1,TRAP,-1,6746,,3,2,1.183397274,1,TRAP,-1,6746,,4,2,1.136592444,0,TRAP,-1,6746,,5,2,1.135197451,0,TRAP,-1,6746,,6,2,1.14372718,0,TRAP,-1,6746,
1,2,1.171132708,1,SEC61C,-1,23480,,2,2,1.160836499,1,SEC61C,-1,23480,,3,2,1.183397274,1,SEC61C,-1,23480,,4,2,1.136592444,0,SEC61C,-1,23480,,5,2,1.135197451,0,SEC61C,-1,23480,,6,2,1.14372718,0,SEC61C,-1,23480,
1,2,1.171132708,1,BiP_atp_formation,3.513398124,3309,28.93738937,2,2,1.160836499,1,BiP_atp_formation,3.482509496,3309,28.58430672,3,2,1.183397274,1,BiP_atp_formation,3.550191822,3309,29.3608284,4,2,1.136592444,0,BiP_atp_formation,3.409777333,3309,27.76148224,5,2,1.135197451,0,BiP_atp_formation,3.405592354,3309,27.71450043,6,2,1.14372718,0,BiP_atp_formation,3.431181539,3309,28.002388
1,2,1.171132708,1,BiP_ATPase,3.513398124,3309,28.93738937,2,2,1.160836499,1,BiP_ATPase,3.482509496,3309,28.58430672,3,2,1.183397274,1,BiP_ATPase,3.550191822,3309,29.3608284,4,2,1.136592444,0,BiP_ATPase,3.409777333,3309,27.76148224,5,2,1.135197451,0,BiP_ATPase,3.405592354,3309,27.71450043,6,2,1.14372718,0,BiP_ATPase,3.431181539,3309,28.002388
