SampleID_S1,TaskID_S1,TaskScore_S1,BinaryTaskScore_S1,EssentialRxnsTask_S1,ExpressionScoreEssentialRxnsTask_S1,GeneAssociatedToEssentialRxnsTask_S1,GeneExpressionValue_S1,SampleID_S2,TaskID_S2,TaskScore_S2,BinaryTaskScore_S2,EssentialRxnsTask_S2,ExpressionScoreEssentialRxnsTask_S2,GeneAssociatedToEssentialRxnsTask_S2,GeneExpressionValue_S2,SampleID_S3,TaskID_S3,TaskScore_S3,BinaryTaskScore_S3,EssentialRxnsTask_S3,ExpressionScoreEssentialRxnsTask_S3,GeneAssociatedToEssentialRxnsTask_S3,GeneExpressionValue_S3,SampleID_S4,TaskID_S4,TaskScore_S4,BinaryTaskScore_S4,EssentialRxnsTask_S4,ExpressionScoreEssentialRxnsTask_S4,GeneAssociatedToEssentialRxnsTask_S4,GeneExpressionValue_S4,SampleID_S5,TaskID_S5,TaskScore_S5,BinaryTaskScore_S5,EssentialRxnsTask_S5,ExpressionScoreEssentialRxnsTask_S5,GeneAssociatedToEssentialRxnsTask_S5,GeneExpressionValue_S5,SampleID_S6,TaskID_S6,TaskScore_S6,BinaryTaskScore_S6,EssentialRxnsTask_S6,ExpressionScoreEssentialRxnsTask_S6,GeneAssociatedToEssentialRxnsTask_S6,GeneExpressionValue_S6
1,1,-1,-1,NADH2_u10m,-1,51079,,2,1,-1,-1,NADH2_u10m,-1,51079,,3,1,-1,-1,NADH2_u10m,-1,51079,,4,1,-1,-1,NADH2_u10m,-1,51079,,5,1,-1,-1,NADH2_u10m,-1,51079,,6,1,-1,-1,NADH2_u10m,-1,51079,
1,2,-1,-1,SUCD1m,-1,6391,,2,2,-1,-1,SUCD1m,-1,6391,,3,2,-1,-1,SUCD1m,-1,6391,,4,2,-1,-1,SUCD1m,-1,6391,,5,2,-1,-1,SUCD1m,-1,6391,,6,2,-1,-1,SUCD1m,-1,6391,
1,3,-1,-1,PDHm,-1,8050,,2,3,-1,-1,PDHm,-1,8050,,3,3,-1,-1,PDHm,-1,8050,,4,3,-1,-1,PDHm,-1,8050,,5,3,-1,-1,PDHm,-1,8050,,6,3,-1,-1,PDHm,-1,8050,
1,4,1.87247418364938,0,ACONTm,3.44334783122881,50,25.97257042,2,4,1.8706126049748,0,ACONTm,3.45852345725202,50,26.13118172,3,4,1.8662156228941,0,ACONTm,3.46864944220709,50,26.23728371,4,4,2.0219608279244,1,ACONTm,3.46865635242816,50,26.23735619,5,4,2.03391486037853,1,ACONTm,3.47953290111036,50,26.3515625,6,4,2.03522222311217,1,ACONTm,3.47561965464925,50,26.31044388
1,4,1.87247418364938,0,AKGDm,-1,8050,,2,4,1.8706126049748,0,AKGDm,-1,8050,,3,4,1.8662156228941,0,AKGDm,-1,8050,,4,4,2.0219608279244,1,AKGDm,-1,8050,,5,4,2.03391486037853,1,AKGDm,-1,8050,,6,4,2.03522222311217,1,AKGDm,-1,8050,
1,4,1.87247418364938,0,CSm,3.49339987363382,1431,27.68598938,2,4,1.8706126049748,0,CSm,3.43431195796548,1431,27.03904724,3,4,1.8662156228941,0,CSm,3.42612823911764,1431,26.95004654,4,4,2.0219608279244,1,CSm,3.45721090930929,1431,27.28885651,5,4,2.03391486037853,1,CSm,3.48845831705522,1431,27.6315918,6,4,2.03522222311217,1,CSm,3.49443296323772,1431,27.69736862
1,4,1.87247418364938,0,FUMm,3.3662612829616,2271,22.25704193,2,4,1.8706126049748,0,FUMm,3.46821398578241,2271,23.19282913,3,4,1.8662156228941,0,FUMm,3.45736189752743,2271,23.09231186,4,4,2.0219608279244,1,FUMm,3.4938031323944,2271,23.43071365,5,4,2.03391486037853,1,FUMm,3.49881124129884,2271,23.47741318,6,4,2.03522222311217,1,FUMm,3.50860043681136,2271,23.56883049
1,4,1.87247418364938,0,ICDHxm,-1,3421,,2,4,1.8706126049748,0,ICDHxm,-1,3421,,3,4,1.8662156228941,0,ICDHxm,-1,3421,,4,4,2.0219608279244,1,ICDHxm,-1,3421,,5,4,2.03391486037853,1,ICDHxm,-1,3421,,6,4,2.03522222311217,1,ICDHxm,-1,3421,
1,4,1.87247418364938,0,MDHm,3.49675082721985,4190,24.17752075,2,4,1.8706126049748,0,MDHm,3.48357094987549,4190,24.05100822,3,4,1.8662156228941,0,MDHm,3.46151046887806,4190,23.83999634,4,4,2.0219608279244,1,MDHm,3.45502410409678,4191,27.15528107,5,4,2.03391486037853,1,MDHm,3.47590240687873,4191,27.38302612,6,4,2.03522222311217,1,MDHm,3.46723165184439,4191,27.28832817
1,4,1.87247418364938,0,SUCD1m,-1,6391,,2,4,1.8706126049748,0,SUCD1m,-1,6391,,3,4,1.8662156228941,0,SUCD1m,-1,6391,,4,4,2.0219608279244,1,SUCD1m,-1,6391,,5,4,2.03391486037853,1,SUCD1m,-1,6391,,6,4,2.03522222311217,1,SUCD1m,-1,6391,
